values,DOTALL,IGNORECASE,keys
de_novo,n,n,de novo
clear_error,n,n,clearly erro(r|neous)
abuse_disc,n,n,abused? (of|its|his|her) discretion
arb_cap,n,n,arbitrary and capricious
