values,DOTALL,IGNORECASE,keys,knots
cross_appnt,y,y,CROSS-APPELLANT,ZZZZ
cross_appee,y,y,CROSS-APPELLEE,ZZZZ
appnt,y,y,APPELLANT,CROSS-APPELLANT
appee,y,y,APPELLEE,CROSS-APPELLEE
plaint,y,y,PLAINTIF,ZZZZ
defend,y,y,DEFENDANT,ZZZZ
petit,y,y,PETITIONER,ZZZZ
resp,y,y,RESPONDENT,ZZZZ
interven,y,y,INTERVEN,ZZZZ
us,y,y,U(\.|NITED) ?S(\.|TATES),(DEFENDANT|BANK|ATTORNEY|COMMISSION|TRADE|ASSOC|INSUR|CO\.|CORP\.|INC|INTERVEN)
