keys,DOTALL,IGNORECASE,values
BANKRUPTCY APPELLATE,y,y,999
FIRST CIRCUIT,y,y,1
SECOND CIRCUIT,y,y,2
THIRD CIRCUIT,y,y,3
FOURTH CIRCUIT,y,y,4
FIFTH CIRCUIT,y,y,5
SIXTH CIRCUIT,y,y,6
SEVENTH CIRCUIT,y,y,7
EIGHTH CIRCUIT,y,y,8
NINTH CIRCUIT,y,y,9
TENTH CIRCUIT,y,y,10
ELEVENTH CIRCUIT,y,y,11
DISTRICT OF COLUMBIA,y,y,12
D\.C\.,y,y,12
FEDERAL CIRCUIT,y,y,13
TEMPORARY EMERGENCY,y,y,998
