keys,dotall,ignorecase,values
WESTERN DISTRICT OF VIRGINIA,TRUE,TRUE,WESTERN DISTRICT OF VIRGINIA
WESTERN DISTRICT OF WASHINGTON,TRUE,TRUE,WESTERN DISTRICT OF WASHINGTON
WESTERN DISTRICT OF WISCONSIN,TRUE,TRUE,WESTERN DISTRICT OF WISCONSIN
DISTRICT OF ALASKA,TRUE,TRUE,DISTRICT OF ALASKA
DISTRICT OF ARIZONA,TRUE,TRUE,DISTRICT OF ARIZONA
DISTRICT OF COLORADO,TRUE,TRUE,DISTRICT OF COLORADO
DISTRICT OF CONNECTICUT,TRUE,TRUE,DISTRICT OF CONNECTICUT
DISTRICT OF COLUMBIA,TRUE,TRUE,DISTRICT OF DISTRICT OF COLUMBIA
DISTRICT OF DELAWARE,TRUE,TRUE,DISTRICT OF DELAWARE
DISTRICT OF GUAM,TRUE,TRUE,DISTRICT OF GUAM
DISTRICT OF HAWAII,TRUE,TRUE,DISTRICT OF HAWAII
DISTRICT OF IDAHO,TRUE,TRUE,DISTRICT OF IDAHO
DISTRICT OF KANSAS,TRUE,TRUE,DISTRICT OF KANSAS
DISTRICT OF MAINE,TRUE,TRUE,DISTRICT OF MAINE
DISTRICT OF MARYLAND,TRUE,TRUE,DISTRICT OF MARYLAND
DISTRICT OF MASSACHUSETTS,TRUE,TRUE,DISTRICT OF MASSACHUSETTS
DISTRICT OF MINNESOTA,TRUE,TRUE,DISTRICT OF MINNESOTA
DISTRICT OF MONTANA,TRUE,TRUE,DISTRICT OF MONTANA
DISTRICT OF NEBRASKA,TRUE,TRUE,DISTRICT OF NEBRASKA
DISTRICT OF NEVADA,TRUE,TRUE,DISTRICT OF NEVADA
DISTRICT OF NEW HAMPSHIRE,TRUE,TRUE,DISTRICT OF NEW HAMPSHIRE
DISTRICT OF NEW JERSEY,TRUE,TRUE,DISTRICT OF NEW JERSEY
DISTRICT OF NEW MEXICO,TRUE,TRUE,DISTRICT OF NEW MEXICO
DISTRICT OF NORTH DAKOTA,TRUE,TRUE,DISTRICT OF NORTH DAKOTA
DISTRICT OF OREGON,TRUE,TRUE,DISTRICT OF OREGON
DISTRICT OF PUERTO RICO,TRUE,TRUE,DISTRICT OF PUERTO RICO
DISTRICT OF RHODE ISLAND,TRUE,TRUE,DISTRICT OF RHODE ISLAND
DISTRICT OF SOUTH CAROLINA,TRUE,TRUE,DISTRICT OF SOUTH CAROLINA
DISTRICT OF SOUTH DAKOTA,TRUE,TRUE,DISTRICT OF SOUTH DAKOTA
DISTRICT OF THE CANAL ZONE,TRUE,TRUE,DISTRICT OF THE CANAL ZONE
DISTRICT OF THE NORTHERN MARIANA ISLANDS,TRUE,TRUE,DISTRICT OF THE NORTHERN MARIANA ISLANDS
DISTRICT OF THE VIRGIN ISLANDS,TRUE,TRUE,DISTRICT OF THE VIRGIN ISLANDS
DISTRICT OF UTAH,TRUE,TRUE,DISTRICT OF UTAH
